ID,Gender,Age_group,Age_months,Trial_absolute,Trial_condition,Condition,Comp_prop_correct,Share
Child.1.1,M,4,50.5,1,1,Access,0.5,1
Child.1.1,M,4,50.5,2,2,Access,0.5,1
Child.1.1,M,4,50.5,3,3,Access,0.5,1
Child.1.1,M,4,50.5,4,4,Access,0.5,1
Child.1.1,M,4,50.5,5,1,NoAccess,0.5,1
Child.1.1,M,4,50.5,6,2,NoAccess,0.5,1
Child.1.1,M,4,50.5,7,3,NoAccess,0.5,1
Child.1.1,M,4,50.5,8,4,NoAccess,0.5,1
Child.1.1,M,4,50.5,9,5,Access,0.5,1
Child.1.1,M,4,50.5,10,6,Access,0.5,1
Child.1.1,M,4,50.5,11,7,Access,0.5,1
Child.1.1,M,4,50.5,12,8,Access,0.5,1
Child.1.1,M,4,50.5,13,5,NoAccess,0.5,0
Child.1.1,M,4,50.5,14,6,NoAccess,0.5,0
Child.1.1,M,4,50.5,15,7,NoAccess,0.5,0
Child.1.1,M,4,50.5,16,8,NoAccess,0.5,0
Child.1.2,M,4,59.1,1,1,Access,1,1
Child.1.2,M,4,59.1,2,2,Access,1,1
Child.1.2,M,4,59.1,3,3,Access,1,1
Child.1.2,M,4,59.1,4,4,Access,1,1
Child.1.2,M,4,59.1,5,1,NoAccess,1,1
Child.1.2,M,4,59.1,6,2,NoAccess,1,1
Child.1.2,M,4,59.1,7,3,NoAccess,1,1
Child.1.2,M,4,59.1,8,4,NoAccess,1,1
Child.1.2,M,4,59.1,9,5,Access,1,1
Child.1.2,M,4,59.1,10,6,Access,1,1
Child.1.2,M,4,59.1,11,7,Access,1,1
Child.1.2,M,4,59.1,12,8,Access,1,1
Child.1.2,M,4,59.1,13,5,NoAccess,1,1
Child.1.2,M,4,59.1,14,6,NoAccess,1,1
Child.1.2,M,4,59.1,15,7,NoAccess,1,1
Child.1.2,M,4,59.1,16,8,NoAccess,1,1
Child.1.3,M,4,57.3,1,1,NoAccess,0.83,1
Child.1.3,M,4,57.3,2,2,NoAccess,0.83,0
