ID,Gender,Age_group,Age_months,Trial_absolute,Trial_condition,Condition,Comp_prop_correct,Partner_identification,Share
Child.3.1,F,6,74.7,1,1,UntrustworthyPartner,1,1,0
Child.3.1,F,6,74.7,2,2,UntrustworthyPartner,1,1,1
Child.3.1,F,6,74.7,3,3,UntrustworthyPartner,1,1,0
Child.3.1,F,6,74.7,4,4,UntrustworthyPartner,1,1,0
Child.3.1,F,6,74.7,5,1,TrustworthyPartner,1,1,1
Child.3.1,F,6,74.7,6,2,TrustworthyPartner,1,1,1
Child.3.1,F,6,74.7,7,3,TrustworthyPartner,1,1,1
Child.3.1,F,6,74.7,8,4,TrustworthyPartner,1,1,1
Child.3.1,F,6,74.7,9,5,UntrustworthyPartner,1,1,0
Child.3.1,F,6,74.7,10,6,UntrustworthyPartner,1,1,0
Child.3.1,F,6,74.7,11,7,UntrustworthyPartner,1,1,0
Child.3.1,F,6,74.7,12,8,UntrustworthyPartner,1,1,0
Child.3.1,F,6,74.7,13,5,TrustworthyPartner,1,1,0
Child.3.1,F,6,74.7,14,6,TrustworthyPartner,1,1,1
Child.3.1,F,6,74.7,15,7,TrustworthyPartner,1,1,0
Child.3.1,F,6,74.7,16,8,TrustworthyPartner,1,1,1
Child.3.2,F,6,74.2,1,1,TrustworthyPartner,0.67,1,1
Child.3.2,F,6,74.2,2,2,TrustworthyPartner,0.67,1,1
Child.3.2,F,6,74.2,3,3,TrustworthyPartner,0.67,1,1
Child.3.2,F,6,74.2,4,4,TrustworthyPartner,0.67,1,1
Child.3.2,F,6,74.2,5,1,UntrustworthyPartner,0.67,1,1
Child.3.2,F,6,74.2,6,2,UntrustworthyPartner,0.67,1,1
Child.3.2,F,6,74.2,7,3,UntrustworthyPartner,0.67,1,1
Child.3.2,F,6,74.2,8,4,UntrustworthyPartner,0.67,1,1
Child.3.2,F,6,74.2,9,5,TrustworthyPartner,0.67,1,1
Child.3.2,F,6,74.2,10,6,TrustworthyPartner,0.67,1,1
Child.3.2,F,6,74.2,11,7,TrustworthyPartner,0.67,1,1
Child.3.2,F,6,74.2,12,8,TrustworthyPartner,0.67,1,1
Child.3.2,F,6,74.2,13,5,UntrustworthyPartner,0.67,1,0
Child.3.2,F,6,74.2,14,6,UntrustworthyPartner,0.67,1,1
Child.3.2,F,6,74.2,15,7,UntrustworthyPartner,0.67,1,0
Child.3.2,F,6,74.2,16,8,UntrustworthyPartner,0.67,1,1
